
# Surface 0 of 1 surfaces

# Curve title: "'inputs/input.txt' u 1:2:($3 * 100)"
# IsoCurve 0, 7 points
# x y z type
 726 -255.75  3204.56 i
 726 -213.127  3667.7 i
 726 -170.503  3032.19 i
 726 -127.88  2489.27 i
 726 -85.2567  2655.87 i
 726 -42.6333  2181.18 i
 726 -0.01  1578.3 i

# IsoCurve 1, 7 points
# x y z type
 691.429 -255.75  3191.99 i
 691.429 -213.127  3216.65 i
 691.429 -170.503  3038.28 i
 691.429 -127.88  2851.68 i
 691.429 -85.2567  2737.53 i
 691.429 -42.6333  2542.6 i
 691.429 -0.01  2386.02 i

# IsoCurve 2, 7 points
# x y z type
 656.857 -255.75  3206.31 i
 656.857 -213.127  3201.73 i
 656.857 -170.503  3056.38 i
 656.857 -127.88  2886.36 i
 656.857 -85.2567  2773.6 i
 656.857 -42.6333  2588.53 i
 656.857 -0.01  2383.06 i

# IsoCurve 3, 7 points
# x y z type
 622.286 -255.75  3230.61 i
 622.286 -213.127  3255.5 i
 622.286 -170.503  3070.45 i
 622.286 -127.88  2833.2 i
 622.286 -85.2567  2750.35 i
 622.286 -42.6333  2532.61 i
 622.286 -0.01  2042.52 i

# IsoCurve 4, 7 points
# x y z type
 587.714 -255.75  3274.71 i
 587.714 -213.127  3294.38 i
 587.714 -170.503  3112.87 i
 587.714 -127.88  2878.16 i
 587.714 -85.2567  2792.95 i
 587.714 -42.6333  2558.49 i
 587.714 -0.01  2061.5 i

# IsoCurve 5, 7 points
# x y z type
 553.143 -255.75  3347.5 i
 553.143 -213.127  3338.73 i
 553.143 -170.503  3202.6 i
 553.143 -127.88  3048.27 i
 553.143 -85.2567  2939.98 i
 553.143 -42.6333  2686.22 i
 553.143 -0.01  2430.38 i

# IsoCurve 6, 7 points
# x y z type
 518.571 -255.75  3437.58 i
 518.571 -213.127  3453.96 i
 518.571 -170.503  3303.14 i
 518.571 -127.88  3162.72 i
 518.571 -85.2567  3091.88 i
 518.571 -42.6333  2723.67 i
 518.571 -0.01  2438.73 i

# IsoCurve 7, 7 points
# x y z type
 484 -255.75  3555.14 i
 484 -213.127  3861.05 i
 484 -170.503  3437.22 i
 484 -127.88  3066.98 i
 484 -85.2567  3531.63 i
 484 -42.6333  2419.56 i
